Date : 2022-02-06 16:52:32
Directory : z:\Programming\Yadesh\yadesh
Total : 353 files,  46091 codes, 806 comments, 899 blanks, all 47796 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          3 |     28,656 |          0 |          3 |     28,659 |
| JavaScript |        328 |     16,835 |        773 |        782 |     18,390 |
| CSS        |          6 |        458 |         10 |         66 |        534 |
| XML        |         14 |         85 |          0 |         14 |         99 |
| Markdown   |          1 |         38 |          0 |         33 |         71 |
| HTML       |          1 |         19 |         23 |          1 |         43 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |        353 |     46,091 |        806 |        899 |     47,796 |
| public                                                                                                   |          2 |         28 |         23 |          2 |         53 |
| src                                                                                                      |        346 |     17,361 |        783 |        860 |     19,004 |
| src\Components                                                                                           |        132 |     12,850 |        761 |        540 |     14,151 |
| src\Components\AboutUs                                                                                   |          2 |        175 |          0 |          8 |        183 |
| src\Components\AdminDashboardLayout                                                                      |          5 |        511 |          0 |         16 |        527 |
| src\Components\AdminPanel                                                                                |          6 |        764 |          0 |         16 |        780 |
| src\Components\AdminPanelCompany                                                                         |          2 |        166 |          0 |          4 |        170 |
| src\Components\AdminPanelCourses                                                                         |          2 |        211 |          0 |          4 |        215 |
| src\Components\AdminPanelEpisode                                                                         |          2 |        183 |          0 |          3 |        186 |
| src\Components\AdminPanelFactor                                                                          |          2 |        181 |          0 |          2 |        183 |
| src\Components\AdminPanelSubscription                                                                    |          2 |        205 |          0 |          2 |        207 |
| src\Components\AdminPanelUser                                                                            |          2 |        213 |          0 |          3 |        216 |
| src\Components\Course                                                                                    |          2 |        128 |          0 |          3 |        131 |
| src\Components\HomePageLoggedIn                                                                          |          4 |        481 |          0 |         16 |        497 |
| src\Components\HomePageNotLogin                                                                          |          5 |        326 |          0 |         21 |        347 |
| src\Components\Modals                                                                                    |         10 |        651 |          0 |         17 |        668 |
| src\Components\MyProgress                                                                                |          6 |        911 |          0 |         37 |        948 |
| src\Components\NotSignIn                                                                                 |          6 |        696 |        254 |         42 |        992 |
| src\Components\PlayerCourse                                                                              |          1 |        225 |          0 |          4 |        229 |
| src\Components\PlayerEpisode                                                                             |          2 |        341 |          0 |          7 |        348 |
| src\Components\RequireAuth                                                                               |          1 |          3 |          0 |          1 |          4 |
| src\Components\SettingsModal                                                                             |          4 |        257 |          0 |         12 |        269 |
| src\Components\SignUpForBusiness                                                                         |          1 |        153 |          0 |          3 |        156 |
| src\Components\SiteManagMentAboutYadesh.js                                                               |          6 |        667 |         15 |         37 |        719 |
| src\Components\SiteManagment                                                                             |         12 |        530 |          0 |         33 |        563 |
| src\Components\SiteManagmentContactWithYadesh                                                            |          3 |        522 |          0 |         32 |        554 |
| src\Components\SiteManagmentCourses                                                                      |          1 |         34 |          0 |          2 |         36 |
| src\Components\SiteManagmentLogin                                                                        |          1 |        110 |         99 |          8 |        217 |
| src\Components\SiteManagmentPishrafteMan(myProgress)                                                     |          6 |        535 |          0 |         36 |        571 |
| src\Components\SiteManagmentPlayerCourse                                                                 |          3 |        101 |          0 |         13 |        114 |
| src\Components\SiteManagmentUserProfile                                                                  |          3 |        265 |         89 |         15 |        369 |
| src\Components\SiteManagmentYadeshForSazman                                                              |          6 |        868 |        288 |         47 |      1,203 |
| src\Components\SiteManegMentPlayerEpisode                                                                |          3 |        101 |          0 |         12 |        113 |
| src\Components\StateManagmentSignIn                                                                      |          4 |        283 |          0 |         26 |        309 |
| src\Components\TicketsCompany                                                                            |          4 |        274 |         16 |         17 |        307 |
| src\Components\UserProfile                                                                               |          4 |        820 |          0 |         13 |        833 |
| src\Components\YadgiriDarSatheJahani                                                                     |          5 |        432 |          0 |         17 |        449 |
| src\Context                                                                                              |          1 |        415 |          0 |          8 |        423 |
| src\Css                                                                                                  |          4 |        434 |          8 |         63 |        505 |
| src\Pages                                                                                                |         31 |      1,212 |          1 |         55 |      1,268 |
| src\Pages\AdminDashboard                                                                                 |         17 |        647 |          1 |         30 |        678 |
| src\assets                                                                                               |        171 |      2,299 |          0 |        176 |      2,475 |
| src\assets\Img                                                                                           |          2 |         18 |          0 |          2 |         20 |
| src\assets\Img\MostVeiw                                                                                  |          1 |          3 |          0 |          1 |          4 |
| src\assets\Img\qustionFromYadesh                                                                         |          1 |         15 |          0 |          1 |         16 |
| src\assets\svg                                                                                           |        169 |      2,281 |          0 |        174 |      2,455 |
| src\assets\svg\AboutUs                                                                                   |         11 |         84 |          0 |         11 |         95 |
| src\assets\svg\AdminLogin                                                                                |         24 |        596 |          0 |         24 |        620 |
| src\assets\svg\AdminPanelCourses                                                                         |         33 |        217 |          0 |         31 |        248 |
| src\assets\svg\CustomerYadesh                                                                            |          5 |         33 |          0 |          5 |         38 |
| src\assets\svg\ForgotPassword                                                                            |          1 |          5 |          0 |          1 |          6 |
| src\assets\svg\HomePageNotLogin                                                                          |          2 |         67 |          0 |          2 |         69 |
| src\assets\svg\Login                                                                                     |          7 |        105 |          0 |          8 |        113 |
| src\assets\svg\Modals                                                                                    |          8 |         61 |          0 |         14 |         75 |
| src\assets\svg\PlayerEpisode                                                                             |         16 |        100 |          0 |         16 |        116 |
| src\assets\svg\SignUpForBusiness                                                                         |          5 |         27 |          0 |          5 |         32 |
| src\assets\svg\YadgiriDarSatheJahani                                                                     |          8 |         85 |          0 |          8 |         93 |
| src\assets\svg\YouAsk                                                                                    |          2 |         11 |          0 |          2 |         13 |
| src\assets\svg\adminPanelEpisode                                                                         |          1 |          5 |          0 |          1 |          6 |
| src\assets\svg\course                                                                                    |          2 |         10 |          0 |          2 |         12 |
| src\assets\svg\questionFromYadesh                                                                        |          3 |         15 |          0 |          3 |         18 |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                 | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| z:\Programming\Yadesh\yadesh\README.md                                                                   | Markdown   |         38 |          0 |         33 |         71 |
| z:\Programming\Yadesh\yadesh\package-lock.json                                                           | JSON       |     28,589 |          0 |          1 |     28,590 |
| z:\Programming\Yadesh\yadesh\package.json                                                                | JSON       |         58 |          0 |          1 |         59 |
| z:\Programming\Yadesh\yadesh\postcss.config.js                                                           | JavaScript |          6 |          0 |          1 |          7 |
| z:\Programming\Yadesh\yadesh\public\index.html                                                           | HTML       |         19 |         23 |          1 |         43 |
| z:\Programming\Yadesh\yadesh\public\manifest.json                                                        | JSON       |          9 |          0 |          1 |         10 |
| z:\Programming\Yadesh\yadesh\src\App.css                                                                 | CSS        |          8 |          2 |          2 |         12 |
| z:\Programming\Yadesh\yadesh\src\App.js                                                                  | JavaScript |         92 |          4 |          7 |        103 |
| z:\Programming\Yadesh\yadesh\src\App.test.js                                                             | JavaScript |          7 |          0 |          2 |          9 |
| z:\Programming\Yadesh\yadesh\src\Components\AboutUs\Header.js                                            | JavaScript |         42 |          0 |          3 |         45 |
| z:\Programming\Yadesh\yadesh\src\Components\AboutUs\Main.js                                              | JavaScript |        133 |          0 |          5 |        138 |
| z:\Programming\Yadesh\yadesh\src\Components\AdminDashboardLayout\Header.js                               | JavaScript |        122 |          0 |          3 |        125 |
| z:\Programming\Yadesh\yadesh\src\Components\AdminDashboardLayout\SearchModal.js                          | JavaScript |         36 |          0 |          2 |         38 |
| z:\Programming\Yadesh\yadesh\src\Components\AdminDashboardLayout\Sidebar.js                              | JavaScript |        215 |          0 |          5 |        220 |
| z:\Programming\Yadesh\yadesh\src\Components\AdminDashboardLayout\SidebarCollapsed.js                     | JavaScript |         80 |          0 |          3 |         83 |
| z:\Programming\Yadesh\yadesh\src\Components\AdminDashboardLayout\TicketNotif.js                          | JavaScript |         58 |          0 |          3 |         61 |
| z:\Programming\Yadesh\yadesh\src\Components\AdminPanelCompany\MiddlwSection.js                           | JavaScript |         38 |          0 |          1 |         39 |
| z:\Programming\Yadesh\yadesh\src\Components\AdminPanelCompany\Table.js                                   | JavaScript |        128 |          0 |          3 |        131 |
| z:\Programming\Yadesh\yadesh\src\Components\AdminPanelCourses\MiddleSection.js                           | JavaScript |         39 |          0 |          1 |         40 |
| z:\Programming\Yadesh\yadesh\src\Components\AdminPanelCourses\Table.js                                   | JavaScript |        172 |          0 |          3 |        175 |
| z:\Programming\Yadesh\yadesh\src\Components\AdminPanelEpisode\MiddleSection.js                           | JavaScript |         39 |          0 |          1 |         40 |
| z:\Programming\Yadesh\yadesh\src\Components\AdminPanelEpisode\Table.js                                   | JavaScript |        144 |          0 |          2 |        146 |
| z:\Programming\Yadesh\yadesh\src\Components\AdminPanelFactor\MiddleSection.js                            | JavaScript |         26 |          0 |          0 |         26 |
| z:\Programming\Yadesh\yadesh\src\Components\AdminPanelFactor\Table.js                                    | JavaScript |        155 |          0 |          2 |        157 |
| z:\Programming\Yadesh\yadesh\src\Components\AdminPanelSubscription\MiddleSection.js                      | JavaScript |         56 |          0 |          1 |         57 |
| z:\Programming\Yadesh\yadesh\src\Components\AdminPanelSubscription\Table.js                              | JavaScript |        149 |          0 |          1 |        150 |
| z:\Programming\Yadesh\yadesh\src\Components\AdminPanelUser\MiddleSection.js                              | JavaScript |         54 |          0 |          1 |         55 |
| z:\Programming\Yadesh\yadesh\src\Components\AdminPanelUser\Table.js                                      | JavaScript |        159 |          0 |          2 |        161 |
| z:\Programming\Yadesh\yadesh\src\Components\AdminPanel\ExportChartModal.js                               | JavaScript |         36 |          0 |          2 |         38 |
| z:\Programming\Yadesh\yadesh\src\Components\AdminPanel\NewTickets.js                                     | JavaScript |         94 |          0 |          2 |         96 |
| z:\Programming\Yadesh\yadesh\src\Components\AdminPanel\ShowAdminComponentModal.js                        | JavaScript |        104 |          0 |          3 |        107 |
| z:\Programming\Yadesh\yadesh\src\Components\AdminPanel\YourCoursesSeen.js                                | JavaScript |        162 |          0 |          2 |        164 |
| z:\Programming\Yadesh\yadesh\src\Components\AdminPanel\YourEpisodesSeen.js                               | JavaScript |        149 |          0 |          3 |        152 |
| z:\Programming\Yadesh\yadesh\src\Components\AdminPanel\YourUsers.js                                      | JavaScript |        219 |          0 |          4 |        223 |
| z:\Programming\Yadesh\yadesh\src\Components\Course\HeaderCourse.js                                       | JavaScript |         49 |          0 |          1 |         50 |
| z:\Programming\Yadesh\yadesh\src\Components\Course\MainSection.js                                        | JavaScript |         79 |          0 |          2 |         81 |
| z:\Programming\Yadesh\yadesh\src\Components\Footer.js                                                    | JavaScript |        176 |          0 |          4 |        180 |
| z:\Programming\Yadesh\yadesh\src\Components\HomePageLoggedIn\ContinueLearning.js                         | JavaScript |        122 |          0 |          4 |        126 |
| z:\Programming\Yadesh\yadesh\src\Components\HomePageLoggedIn\PersonalManagement.js                       | JavaScript |        125 |          0 |          5 |        130 |
